<<<<<<< HEAD
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	27	100	100	100	100	100	100	100	100	100	100	100	100	100	100	44	100	
100	100	100	17	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	100	
100	100	100	13	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	11	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	24	100	100	100	100	100	100	100	100	100	100	100	100	100	100	24	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	32	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	13	100	100	100	100	100	100	100	100	100	100	100	100	100	100	22	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	1	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	36	100	
100	100	100	11	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	16	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	94	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	15	100	100	100	100	100	100	100	100	100	100	100	100	100	100	32	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	52	100	
100	100	100	18	100	100	100	100	100	100	100	100	100	100	100	100	100	100	26	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	18	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	26	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	17	100	100	100	100	100	100	100	100	100	100	100	100	100	100	26	100	
100	100	100	15	100	100	100	100	100	100	100	100	100	100	100	100	100	100	30	100	
100	100	100	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	100	
100	100	100	11	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	22	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	44	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	11	100	100	100	100	100	100	100	100	100	100	100	100	100	100	32	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	22	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	74	100	
100	100	100	16	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	9	100	
100	100	100	16	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	26	100	100	100	100	100	100	100	100	100	100	100	100	100	100	64	100	
100	100	100	22	100	100	100	100	100	100	100	100	100	100	100	100	100	100	22	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	28	100	
100	100	100	30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	56	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	15	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	24	100	100	100	100	100	100	100	100	100	100	100	100	100	100	12	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	100	
100	100	100	13	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	12	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	12	100	100	100	100	100	100	100	100	100	100	100	100	100	100	26	100	
100	100	100	33	100	100	100	100	100	100	100	100	100	100	100	100	100	100	32	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	42	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	48	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
100	100	100	16	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	100	
100	100	100	17	100	100	100	100	100	100	100	100	100	100	100	100	100	100	28	100	
100	100	100	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	19	100	100	100	100	100	100	100	100	100	100	100	100	100	100	24	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	15	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	100	
100	100	100	11	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	16	100	100	100	100	100	100	100	100	100	100	100	100	100	100	24	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	1	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	24	100	100	100	100	100	100	100	100	100	100	100	100	100	100	24	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	26	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	40	100	
100	100	100	50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	50	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	19	100	100	100	100	100	100	100	100	100	100	100	100	100	100	40	100	
100	100	100	24	100	100	100	100	100	100	100	100	100	100	100	100	100	100	24	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	54	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	13	100	100	100	100	100	100	100	100	100	100	100	100	100	100	24	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	15	100	
100	100	100	21	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	36	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	25	100	100	100	100	100	100	100	100	100	100	100	100	100	100	24	100	
100	100	100	30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	30	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	18	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	12	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	30	100	
100	100	100	40	100	100	100	100	100	100	100	100	100	100	100	100	100	100	40	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	30	100	
100	100	100	23	100	100	100	100	100	100	100	100	100	100	100	100	100	100	22	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	26	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	12	100	100	100	100	100	100	100	100	100	100	100	100	100	100	36	100	
100	100	100	18	100	100	100	100	100	100	100	100	100	100	100	100	100	100	28	100	
100	100	100	16	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	25	100	100	100	100	100	100	100	100	100	100	100	100	100	100	24	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	22	100	
100	100	100	13	100	100	100	100	100	100	100	100	100	100	100	100	100	100	12	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	21	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	12	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	68	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	16	100	100	100	100	100	100	100	100	100	100	100	100	100	100	58	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	24	100	
100	100	100	18	100	100	100	100	100	100	100	100	100	100	100	100	100	100	22	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	22	100	100	100	100	100	100	100	100	100	100	100	100	100	100	22	100	
100	100	100	38	100	100	100	100	100	100	100	100	100	100	100	100	100	100	58	100	
100	100	100	12	100	100	100	100	100	100	100	100	100	100	100	100	100	100	64	100	
100	100	100	20	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	24	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	11	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	56	100	
100	100	100	11	100	100	100	100	100	100	100	100	100	100	100	100	100	100	64	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	31	100	100	100	100	100	100	100	100	100	100	100	100	100	100	42	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	36	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	100	
100	100	100	13	100	100	100	100	100	100	100	100	100	100	100	100	100	100	12	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	12	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	100	
100	100	100	27	100	100	100	100	100	100	100	100	100	100	100	100	100	100	26	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	1	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	40	100	
100	100	100	15	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	13	100	100	100	100	100	100	100	100	100	100	100	100	100	100	30	100	
100	100	100	21	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	40	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	40	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	1	100	
100	100	100	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	24	100	
100	100	100	15	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	100	
100	100	100	23	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
100	100	100	22	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	49	100	100	100	100	100	100	100	100	100	100	100	100	100	100	70	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	11	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	19	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	19	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	19	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	30	100	100	100	100	100	100	100	100	100	100	100	100	100	100	42	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	42	100	
100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	22	100	100	100	100	100	100	100	100	100	100	100	100	100	100	22	100	
100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	1	100	
100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	4	100	
100	100	100	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	100	
100	100	100	20	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
100	100	100	19	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	33	100	100	100	100	100	100	100	100	100	100	100	100	100	100	32	100	
100	100	100	20	100	100	100	100	100	100	100	100	100	100	100	100	100	100	36	100	
100	100	100	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	18	100	
100	100	100	12	100	100	100	100	100	100	100	100	100	100	100	100	100	100	26	100	
100	100	100	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	100	
100	100	100	20	100	100	100	100	100	100	100	100	100	100	100	100	100	100	52	100	
100	100	100	18	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	100	
100	100	100	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	26	100	
100	100	100	12	100	100	100	100	100	100	100	100	100	100	100	100	100	100	60	100	
100	100	100	11	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	100	
